,LDA Model,Params,Time Elapsed,Coherence,Perplexity,Topics
150,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.1, 'eta': 0.1, 'random_state': 100}",0 days 00:00:18.714017,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
151,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.1, 'eta': 0.3, 'random_state': 100}",0 days 00:00:18.660695,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
152,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.1, 'eta': 0.6, 'random_state': 100}",0 days 00:00:18.650990,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
153,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.1, 'eta': 0.9, 'random_state': 100}",0 days 00:00:18.715292,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
154,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.1, 'eta': 'symmetric', 'random_state': 100}",0 days 00:00:18.378903,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
155,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.3, 'eta': 0.1, 'random_state': 100}",0 days 00:00:18.716972,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
156,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.3, 'eta': 0.3, 'random_state': 100}",0 days 00:00:18.484336,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
157,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.3, 'eta': 0.6, 'random_state': 100}",0 days 00:00:18.941089,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
158,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.3, 'eta': 0.9, 'random_state': 100}",0 days 00:00:18.818579,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
159,GensimLDA,"{'chunksize': 1000, 'num_topics': 5, 'alpha': 0.3, 'eta': 'symmetric', 'random_state': 100}",0 days 00:00:18.537149,0.481877593,-5.901042189,"[(0, '0.083*""people"" + 0.024*""fully"" + 0.023*""news"" + 0.019*""situation"" + 0.018*""nation"" + 0.016*""time"" + 0.015*""dose"" + 0.014*""second"" + 0.013*""times"" + 0.012*""going""'), (1, '0.068*""cases"" + 0.053*""india"" + 0.048*""total"" + 0.042*""new"" + 0.029*""doses"" + 0.025*""deaths"" + 0.022*""death"" + 0.021*""health"" + 0.019*""reports"" + 0.018*""state""'), (2, '0.134*""available"" + 0.113*""appointments"" + 0.107*""near"" + 0.106*""sign"" + 0.105*""cvs"" + 0.025*""center"" + 0.019*""research"" + 0.016*""appointment"" + 0.013*""mass"" + 0.013*""vax""'), (3, '0.038*""virus"" + 0.038*""pfizer"" + 0.023*""johnson"" + 0.021*""getting"" + 0.021*""health"" + 0.019*""risk"" + 0.019*""canada"" + 0.014*""wrong"" + 0.014*""variants"" + 0.014*""now""'), (4, '0.062*""immunity"" + 0.052*""you"" + 0.040*""fake"" + 0.036*""australia"" + 0.035*""die"" + 0.034*""company"" + 0.034*""medicine"" + 0.033*""wait"" + 0.031*""usa"" + 0.026*""cure""')]"
